decile,n,pass_rate,duration_sec_mean,duration_sec_ci_lo,duration_sec_ci_hi,duration_min_mean,duration_min_ci_lo,duration_min_ci_hi,n_tokens_mean,n_tokens_ci_lo,n_tokens_ci_hi,candidate_words_mean,candidate_words_ci_lo,candidate_words_ci_hi,n_messages_mean,n_messages_ci_lo,n_messages_ci_hi
1,619,0.16639741518578352,2356.2843295638127,2283.905068903467,2428.6635902241583,39.27140549273021,38.06508448172445,40.47772650373597,1963.5928917609046,1929.9043039902765,1997.2814795315328,1282.02746365105,1253.3648223275557,1310.6901049745445,20.486268174474958,19.96693845559882,21.005597893351094
2,619,0.09531502423263329,2314.21647819063,2242.241673529174,2386.191282852086,38.570274636510504,37.37069455881957,39.769854714201436,1925.2148626817448,1885.3620273994602,1965.0676979640293,1217.600969305331,1183.387779900251,1251.8141587104112,21.83037156704362,21.2586281590873,22.40211497499994
3,619,0.051696284329563816,2411.534733441034,2333.9915295912924,2489.0779372907755,40.19224555735057,38.899858826521545,41.48463228817959,1892.458804523425,1856.1641068507677,1928.7535021960823,1176.340872374798,1144.2302422312105,1208.4515025183855,22.77382875605816,22.184176413192713,23.363481098923604
4,619,0.05654281098546042,2397.5767366720515,2319.1997948066773,2475.9536785374257,39.95961227786753,38.65332991344462,41.265894642290434,1866.2310177705976,1831.6221909873584,1900.8398445538369,1138.2197092084007,1107.4281897286817,1169.0112286881197,23.297253634894993,22.697826072458156,23.89668119733183
5,619,0.027463651050080775,2398.642972536349,2320.399575787799,2476.886369284899,39.97738287560582,38.67332626312999,41.28143948808165,1848.7205169628432,1814.941881742727,1882.4991521829595,1092.2746365105008,1059.4133681034045,1125.1359049175971,25.164781906300483,24.426656073559705,25.90290773904126
6,618,0.022653721682847898,2426.990291262136,2343.492780829342,2510.48780169493,40.44983818770226,39.05821301382236,41.841463361582164,1834.7880258899677,1800.146396776979,1869.4296550029565,1091.9126213592233,1059.2095079544165,1124.61573476403,24.533980582524272,23.887190018657005,25.18077114639154
7,619,0.017770597738287562,2431.40549273021,2349.281153515116,2513.529831945304,40.523424878836835,39.154685891918604,41.892163865755066,1796.5541195476576,1759.8229376839188,1833.2853014113964,1011.0759289176091,977.7355406177805,1044.4163172174376,26.77382875605816,25.89455408024334,27.653103431872978
8,619,0.009693053311793215,2424.523424878837,2340.251734214069,2508.795115543605,40.408723747980616,39.00419557023448,41.81325192572675,1752.9063004846528,1715.221431390029,1790.5911695792765,958.5541195476575,922.5318547320798,994.5763843632352,27.680129240710823,26.735401272782024,28.62485720863962
9,619,0.009693053311793215,2393.5056542810985,2305.9602850441433,2481.0510235180536,39.89176090468498,38.432671417402396,41.35085039196756,1701.0856219709208,1661.8824557126072,1740.2887882292343,882.7948303715671,846.6483262955276,918.9413344476066,28.920840064620357,27.941970507476167,29.899709621764547
10,619,0.0,2403.7802907915993,2313.450884816301,2494.1096967668977,40.06300484652665,38.557514746938345,41.56849494611496,1562.4878836833602,1525.7629066337593,1599.2128607329612,746.3877221324717,714.4024431260531,778.3730011388903,30.62520193861066,29.60670116511533,31.643702712105995
