model,C1a,C1b,C2a,C2b,C3,C4,mean
openai-large,0.815,0.802,0.83,0.814,0.776,0.765,0.8
kalm-12b,0.81,0.796,0.822,0.805,0.764,0.75,0.791
qwen3-8b,0.804,0.79,0.816,0.801,0.756,0.751,0.786
gemini,0.801,0.787,0.811,0.803,0.748,0.743,0.782
voyage,0.799,0.782,0.808,0.787,0.758,0.758,0.782
openai-small,0.79,0.791,0.793,0.789,0.751,0.761,0.779
qwen3-4b,0.796,0.78,0.786,0.778,0.747,0.735,0.77
cohere,0.762,0.761,0.775,0.77,0.714,0.722,0.751
qwen3-0.6b,0.765,0.745,0.764,0.75,0.721,0.735,0.747
jina-v5-small,0.758,0.749,0.75,0.733,0.719,0.705,0.736
