token_limit,skill,macro_f1_4class,macro_f1_4class_std,macro_f1_binary,macro_f1_binary_std,f1_fail,f1_pass,f1_not_exp,f1_junior,f1_midlevel,f1_senior
256,react,0.48637777587643943,0.018136671251395967,0.7313585830039647,0.010845793342063466,0.8053987299426802,0.6573184360652492,0.5711277724370967,0.6608224596262301,0.526656201310727,0.18690467013170392
256,javascript,0.37346377603184877,0.011229642212959048,0.5949836761561244,0.006711075952741722,0.8344653894723532,0.3555019628398955,0.47066653321229196,0.6788020351288206,0.3235309208130202,0.02085561497326203
256,html_css,0.3757271943772819,0.006703486581056551,0.628578419666681,0.014457693957235649,0.8020152547340551,0.45514158459930715,0.39018612088323695,0.6888879449056481,0.4238347117202427,0.0
512,react,0.5409709295904704,0.013732283849679705,0.7822016720180949,0.010291649158029345,0.8467679422326191,0.7176354018035709,0.6708024193195155,0.7255132210281013,0.5782905172374673,0.18927756077679742
512,javascript,0.4316584329424842,0.013867008388825302,0.6403800026197857,0.013615530408860118,0.8620087689701924,0.41875123626937893,0.5565373543575676,0.7303466958974956,0.3779980475279453,0.06175163398692811
512,html_css,0.4086310207063346,0.012939558243665687,0.6736659837225017,0.004478964139147955,0.8341075556991336,0.5132244117458699,0.4258309290795994,0.7253324835050264,0.4833606702407125,0.0
1024,react,0.5670808965317269,0.01590209698050335,0.7894171236502512,0.011479020368344112,0.8524433199704046,0.7263909273300979,0.6825956499852017,0.7423374242265297,0.6052916550020441,0.23809885691313207
1024,javascript,0.48739813478401217,0.015188211621242616,0.6978967906638198,0.009395842628369254,0.891771682399528,0.5040218989281116,0.6209930508933463,0.7780481883859743,0.4394105447431377,0.11114075511359042
1024,html_css,0.4597920708923812,0.016454722417668908,0.7069001286306393,0.009049792967645647,0.8570317761321637,0.5567684811291149,0.5489716174604916,0.7659128739562636,0.5242837921527698,0.0
2048,react,0.547262732956204,0.013768250542188639,0.7888258797810832,0.01659480341349392,0.8515994931029148,0.7260522664592517,0.6674952638754835,0.7345580662823956,0.5950692901305832,0.19192831153635337
2048,javascript,0.5009847080624042,0.026792100421931534,0.7119630646398587,0.01666860674241883,0.9010265215412862,0.5228996077384312,0.6310173459412004,0.7978908859140013,0.46475421011802476,0.11027639027639027
2048,html_css,0.5073959790713918,0.02167666148860159,0.7597753331619124,0.01075910862994196,0.887657990681021,0.6318926756428037,0.6189380914483849,0.8065294701641204,0.5818941324508395,0.02222222222222222
4096,react,0.5479609366674631,0.018182842660984373,0.7898152513976686,0.014893104899871924,0.8523678650942381,0.727262637701099,0.6716597092868055,0.7334620967020333,0.5970571008263627,0.18966483985465135
4096,javascript,0.5043667431247117,0.024596886283480758,0.7077556501830269,0.018407694735389092,0.8988747237928966,0.5166365765731573,0.6272268502585566,0.7979021163159523,0.46684350042983247,0.1254945054945055
4096,html_css,0.5243611237421515,0.021795495529623746,0.7725696031852463,0.005420450271389234,0.8956828124745867,0.6494563938959055,0.6213730898457263,0.8170755112517124,0.6122426471179206,0.046753246753246755
8192,react,0.5487566747791618,0.017276173177469857,0.7906798950889845,0.015060042975855687,0.8532335288881123,0.7281262612898566,0.671278117705226,0.7347130954808919,0.5967578038578546,0.19227768207267437
8192,javascript,0.5027669085627255,0.02502395562651414,0.7063185629499447,0.019904076202886367,0.8980488936132712,0.5145882322866184,0.6269816740201895,0.7968476732935171,0.46544912935856486,0.12178915757863126
8192,html_css,0.5191937256142901,0.016926991662061085,0.774259577367717,0.006685247549418037,0.8965181999976609,0.6520009547377732,0.6241822619636441,0.8160583019391721,0.6098676718876777,0.026666666666666665
full,react,0.5499558215635005,0.01770580494918635,0.7901009189223955,0.015007718942559898,0.8526466923116232,0.7275551455331678,0.6726285713172422,0.7349570946142344,0.5959788706222466,0.19625874970027898
full,javascript,0.5039857346048018,0.024897860266635714,0.7071225117553691,0.017366851137773042,0.8986978166551566,0.5155472068555816,0.6276919462348027,0.7977061723798025,0.4687556622259712,0.12178915757863126
full,html_css,0.5234196408489475,0.021916896683024666,0.7754194490017773,0.005805258030270223,0.8964363810897108,0.6544025169138439,0.6227799694550528,0.8158049222709801,0.6102451868212728,0.044848484848484846
